#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,sensor_id
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:07:40Z,59.48078209487163,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:08:10Z,64.89164630045528,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:08:40Z,71.89381378303524,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:09:10Z,56.55032047085313,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:09:50Z,69.04702429646318,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:10:20Z,79.7389804834819,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:10:50Z,67.95130733581601,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:11:20Z,57.68300433475103,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:11:50Z,65.49739081251627,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:12:30Z,56.431140349233736,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:13:00Z,62.83393858192721,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:13:30Z,81.09343359654459,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:14:00Z,80.30331171149672,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:14:30Z,79.3248661515536,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:15:10Z,63.578784693633644,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:15:40Z,71.50836334866612,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:16:10Z,65.70907037774747,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:16:40Z,62.097151682840604,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:17:10Z,75.28824882091037,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:17:40Z,83.386924587788,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:18:20Z,84.05637721591788,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:18:50Z,55.310652160633104,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:19:20Z,70.18326523472037,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:19:50Z,73.49359300568952,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:20:20Z,73.88918568891783,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:20:50Z,73.12032350045317,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:21:30Z,62.29107966484895,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:22:00Z,72.9497296995145,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:22:30Z,78.57670200661764,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:23:00Z,62.064828514622,humidity,environment,sensor_1
,,0,2024-07-05T03:07:24.128949887Z,2024-07-05T04:07:24.128949887Z,2024-07-05T03:23:30Z,75.28444541583733,humidity,environment,sensor_1
